gencoveid	NA
110850eb-8d3e-4e73-8fe9-946a59a17c62	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
fc171815-df3e-462a-a169-5eda5244fac0	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
8564a02a-a0a5-45e4-bc59-6ce844de1dfb	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
e08e60b9-df3e-4096-b7dd-1817d81a01f3	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
87cea6fe-a171-4394-9920-1dc871870c86	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
97062206-f9b8-4acf-a434-12d6266ca62f	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
c0c2e317-e0f2-4090-b621-9a9025ec5515	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
f2f91d5d-d3ab-4ecb-a5a1-e16c8d5444c0	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
30d09035-fcf6-4270-ab54-c38de24e8d9f	fb7724e2-2191-4084-be6e-5ee124245744
13b4728c-5fdd-42b7-8f74-d0d81285d4eb	fb7724e2-2191-4084-be6e-5ee124245744
72c7c929-430d-4863-b657-869e2d7bf57e	fb7724e2-2191-4084-be6e-5ee124245744
399b7763-7c7c-4f81-ba2e-056e81e84b0c	fb7724e2-2191-4084-be6e-5ee124245744
93a11b3a-c9fd-4748-be7d-7762b49a5a7e	fb7724e2-2191-4084-be6e-5ee124245744
5b8cab50-9e9b-4810-9223-0097c3532114	fb7724e2-2191-4084-be6e-5ee124245744
46e916ad-a3ff-4cd7-8ce8-3673f1a50e86	fb7724e2-2191-4084-be6e-5ee124245744
8e033ea6-e036-4e9a-946b-e19619dfa74f	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
b55cf594-830c-4eee-a7dc-512d1ce98630	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
c4d7a52a-2149-4e00-aa7c-8e2146ce7211	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
df0e7725-35c5-43a9-9fc9-3c8d660b6f5b	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
01b05c8d-e047-4ad0-88a4-7953d755c211	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
f139db5d-33e1-4ac6-8b9c-aa5be712866a	fb7724e2-2191-4084-be6e-5ee124245744
c1f4dc35-8901-477e-bfbe-c318cfca9cd5	fb7724e2-2191-4084-be6e-5ee124245744
764adbd9-6a30-4586-ba69-38f774223bb2	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
33198bfc-a758-4fcb-ac9a-511e6275ac44	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
d0101e5e-b03c-42ef-acd7-b3578e23a446	fb7724e2-2191-4084-be6e-5ee124245744
ed708731-5d77-4119-9052-14db6782166a	fb7724e2-2191-4084-be6e-5ee124245744
787da673-08c1-4e94-9648-cffdbbe0d211	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
354745fd-1840-4f7a-9dca-80478bb95cb5	fb7724e2-2191-4084-be6e-5ee124245744
cbbc575b-a8b9-495b-9682-c5ad13f98d84	fb7724e2-2191-4084-be6e-5ee124245744
7524ecd0-8e00-4b14-9de5-78d0dc61520a	fb7724e2-2191-4084-be6e-5ee124245744
f1b658b9-86cf-4cb3-89c2-7d996e628482	fb7724e2-2191-4084-be6e-5ee124245744
bcc76b11-7015-46af-bce6-4030deb58ee5	fb7724e2-2191-4084-be6e-5ee124245744
6fd6e414-d31e-4962-ab0b-f404b88ef59a	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
dd13a371-9268-423f-aa02-f84e458aa8c0	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
85d64a15-6618-467c-acc5-7201af6e67f3	035e939a-269a-46c1-8c6d-c83a1f3cbb1f
